Comment,Human_Label
yep one oldest people company one woman know older handful older men,Neutral
take menial job find fulfilment work artist writer musician car home family happy,Positive
job replaced hope society made swtich job required know optimistic scenario also live country gonna slow adapting might later sooner get replaced,Neutral
major growing pain humanity eventually adapt whole new cooperative way life think like hunte living technology disposal,Negative
gbt keep saying noninclusive anti nazi writing,Negative
hopefully short term pain long term gain thing mean alternative work button year retire maybe year less die,Neutral
wild youre building thing replace math doesnt work anyone long term automate job who left buy stuff system supposed support whole tower fall,Negative
burying head sand really good alternative,Positive
stop kid mean raise,Negative
company laid like workforce included kept small continue project job market as finding job right hell,Negative
future arrive inevitable lifetime unfortunately take systemic value change brought large population decline technology current socio economic system allow many people kill defend microscopic portion,Negative
feel honestly rediculous take life average poor person today still better king queen year ago hell even dystopian future going better healthcare human history,Positive
guarantee always going way though,Neutral
look italian worker cooperative model fresh idea remarkable concept networking coop example start local hamburger shop purchasing ingredient coop becomes self generating system employment plus folk shat employer flock alternative corporate business,Neutral
psychotherapy bad choice especially work layer modern society lacking even deprived future presence emotion nervous system balance others something keep needing real human,Negative
damn need wake lol job safe,Neutral
skilling work either trade school graduate facing exact issue university grad job worse trade one since like could try get office job search,Negative
absolutely right apologize mistake great spotted,Neutral
population bust slowly starting economic downturn global relation cooling late stage capitalism profit everywhere need downsize pretend pivot maintain revenue level continue groxth instead reality need lay people maintain level financial result pretend make short term working ever left,Negative
opinion based fact already huge amount job lost due already,Negative
well two challenge addressed even close understood theoretically let alone practically first problem containment problem super computer program engineer tight control parameter illustrated fact cyber security massive problem still end sight contain human use computer computer system need secure possibly expect contain super intelligent entity may thinking fine problem would want contain brings second problem alignment problem similar containment problem engineer super grow craft much art form science completely unrealistic expect sort asi grow stay aligned goal people craft mention happens someone grows asi start goal motivation align far stretch imagination envision asi based fundamentalist religion motivated get human comply doctrine even case started asi perfectly aligned interest anyway knowing precisely let alone approximately interpret motivation goal give take back first problem containment problem,Negative
real threat offshoring hiring staff abroad specifically india latam training staff abroad training tor replace,Negative
also creates new challenge often area trouble since training data example work security pivoting lot attention agentic threat meaning case agent used attacker exploit speed scale previously unheard bad actor system minute incident lot work fix agent acting behalf bad actor minute potential global outage,Negative
remote role lol tick tock dear,Negative
already money middle man missing history lesson society built empire falling revolt different people pushed far enough also need robot labour worthless coming future,Negative
factory job job exist know equal number job await,Neutral
boggles mind elite selling lie free human race whatever want people swallowing fantasy without thinking billionaire worship blinding load money could anything say wrong lie going robot going give people money live chilling able afford utility food without job socialist universal basic income false idol hate whole concept paid labour rest job goal life indentured servant people managed get water line swallow everything great set everyone else looking great,Negative
collapse society know people job dying shitty job work think replaced get replaced usefull demand people pay yes even doctor job money money care good thing could happen fail massively stop,Negative
people selling tractor,Neutral
yeah currently named dibao know western info minimum living standard china pay government provisioned ubi dibao jobless people,Neutral
possibly know know year answer different based context circumstance point time maybe different opportunity created widespread usage also trickle effect usually take longer people think need money buy labor market homogenous across globe poorer part global work economy older generation may reject usage especially risk averse industry takeover still long way sometimes feel better plan control within life work especially industry seeing change offering,Positive
finance software yes multiple company cutting due specifically whether saying externally least consensus circle,Neutral
look hyundai plant atlas new humanoid company way ahead thought company would,Positive
auto regressive llm never turn agi fundamental architecture close people claim create agi feeding data point well taken though theory ability control manage whatever robotics create reality world full intelligent psychopath people give flying fuck outcome humanity hard manage regardless try regulate technology effectively managing danger super intelligent agi future require unprecedented unanimous global collaboration strictest regulation surveillance severe punishment,Negative
extremely limiting company built around creating defensible every tech medium company applies software design physical product spec architectural design automobile design chemical structure protein structure video image educational material book video game branding marketing material right anything generated model becomes public domain court decide much human contribution necessary bring back copyright company us agent design work risk stripped future take many many year court sort ceo take kind risk,Negative
want clarify single job lost medicine even radiology massive shortage radiologist,Negative
yea get piece action billionaire politician always pump stock market,Negative
spent year graphic design marketing job either gone hundred applicant going supply dwindling least two third graduate class technical college work time career pivot love physical health taking prerequisite local community college become physical therapy assistant pay good job plentiful background even admin physical therapy office well need arise many people know going trade well stay old industry pivoting hard better constant strain potentially losing position continues take hold,Negative
taking multiple remote job time way one job go one stream income invest income get year investment take take,Neutral
think caught frenzy least add decade prediction stated think ubi thing cast stone far correlated argument suggest coming soon strong even big tech ceo say something downvoted lot really hate young prople like think future peril people beginning dunning kruger curve understand work use chatgpt make seem like spouting lot nonsense know work take idea generated chatgpt face value share back forth bubble point becoming fully detached reality,Negative
everyone forgetting human factor nefarious skilled individual using fear bilk billion global economy within minute would way worried capability pivot employment strategy matter much thought made thats house payment due setting never ending cycle skimming thing get worse harder track way autonomous robot bust say everybody floor hold,Negative
need far back english history answer choice starvation life box wage need much full meal wonderous,Negative
impressed limit realize fix whatever error made,Negative
create new medieval society outside world,Negative
billionaire dont want live madmax distopia either even charge,Negative
many job creative though demanding think current work data entry basic reception service normal job people,Neutral
greedy billionaire politician never give ubi especially even give universal healthcare,Negative
offence style reply eerily similar chatgpt summarise repeat word vibe,Neutral
fear every day future daughter stuck immense amount guilt bringing world love anything happy still feel terrible subjecting life going nothing difficult greedy fuck think anyone,Negative
patient therapist relationship work blueprint client relationship still see replace,Neutral
real answer quietly accepting million people gradually drift extreme poverty system working intended expect resulting loss life resulting extreme poverty spun medium unemployment went,Negative
everything going outside,Neutral
probably watch lot cop show interrogation real life crime lot older folk police force biggest thing ever learned ever detailed request lawyer refuse say anything even innocent police actual offender dead right try pin whoever else always know right,Negative
seems magical promising livelihood taken away likely retrain year get fraction income going brutal many,Negative
take job another human using,Neutral
main reason created work cannot copyrighted anything company make using agent become part public domain mean anyone use company work without permission commercial explicit purpose court ruling overturned company completely replace human sort creative branding product based work reason well like uncanny valley fundamental need human connection financial risk rogue model fact model black box typical executive never able fully understand simple less employee profit far greater risk ceo account,Negative
listen naval ravikant talk,Neutral
understand perspective,Neutral
always recommend also focusing developing soft skill engineer personally grow career pretty fast reach senior need able lead project build alignment etc working skill allow engineer stand code monkey future replace coding job human skill still needed thing mentioned pull string execute,Positive
laying everybody increase profit make sense paradoxical save money firing one employee large portion worker fired company see massive loss enterprise customer rely consumer spending revenue consumer spending american economy fire everybody get ahead,Neutral
alright bos best luck next industry,Positive
specific sort control envision government start mass job displacement would turn luddite country would longer able compete maybe right need detail see kind control would implemented,Negative
except already operating massive loss venture eventually need charge want actually make money,Negative
feel like skill mentioned fit perfectly quality assurance role pharma med device give sense relief thanks mama,Positive
answer coming lol anyways agreed level typical swe using fit,Neutral
read robot understanding learn,Neutral
another industrial revolution final revolution one allow replace human either government introduce basic income revolution,Neutral
sound like middleman skimping top providing nothing value lol,Negative
business analyst think secure customer never able explain need clearly unless customer replaced good,Negative
yeah think uncomfortable truth lot future already unevenly distributed labeled crisis yet people surviving thinner margin less stability stress baked everyday life system seems better normalizing state fixing see policy usually reacts year damage done gap lot quiet suffering sits show cleanly unemployment number,Negative
answer wrong need embrace try hide avoid using using software engineering since leaving coworkers try ignore dust adopted tool engineering organizing thought making documentation asking business advice budgeting finance legal course make sure prompt correctly iterate edit result think assistant got nowhere near level expertise senior help good work use right year ago never get hired know word excel learn use definitely fine job market business venture,Negative
silly happened look google microsoft example outsource software engineer pay someone another country less half price paying someone silicon valley,Negative
buddy hate break critically outsourcing remote capable role going replaced much faster,Negative
pretty much layoff hit right parallel boom able get back field would someone hiring software want especially two year career gap,Neutral
option switch focused computing major best way remove fear gain understanding best way insulate effect leading charge,Neutral
lack adoption business process lead data scientist engineer losing job least make title justify existence dont see many job replaced long term honest,Negative
rude copywriter advertising seen first hand typical junior copywriter stuff lower funnel copy like social medium etc done mid senior level copywriter effortless really consume time anymore apart client figure copywriting could said development bunch job magically got productivity boost invoice reflect doubtlessly lead job loss already bunch study published subject interested instead telling people internet want rip eyeball lol,Negative
agnostic intermediate long term development wisdom large market cap company old enough lived dot com bubble burst,Neutral
militarized police force put mass revolt ease dragging military george washington complained uselessness non professional soldier able violent revolution year fuck supply chain people starve clean water,Negative
true country coop model work really well,Positive
hope company realize going help laying engineer instead hire competent leader future honestly bright engineering lot opportunity agentic new interface gen lot cool implementation need engineer sentient lol incompetent leader passing accountability getting rid higher paid folk short term profit look apple many company mass layoff evolving adapting existing employee competent leadership,Positive
dont yet hype saying coming problem tech keep fcking pretend unicorn status ability tech problem made arrogant tech great marketing teirrible delivery llm failing microsoft losing traffic bing google llm produce nonsense flurry lawsuites around copyrgiht ipr secondly epicenter cosplay forum people visionary sam need pretend one satya need promote one,Negative
never worry fear thing cannot control always way ahead person,Neutral
part problem though ceo etc think answer everything answer correct today told completely wrong answer absolutely right,Negative
thinking assume computer able sufficiently powerful neural network,Neutral
soon gonna government problem,Negative
like mba zero tech background like talk shit lay people pump stock max short term gain even dumbest investor realise hit wall matter much money throw back winter two year ceo take golden parachute pretend surprised,Negative
holy shit leap claude crazy fix failed unit test flawlessly would endlessly loop opus allows one shot task provided set good coding pattern appropriate reference file third party documentation error handling acceptance criterion setting take time use claude build plan review refine,Negative
already happening,Neutral
smart pivot something safe like medicine idek safe tbh could nobody know becoming doctor pretty tough country lot people want place exist also take long time count internship could talking year know happens medical profession year going affect well,Negative
please shut fuck used programmer must good one,Negative
something spectrum two scenario first mankind transition economic system one provides freeing humanity drudgery allowing unprecedented era well prosperity leisure freedom second see level wealth concentration never existed planet intellectual labor obviated hundred million across developed developing world find unemployed unemployable people become homeless people hungry people turn crime people die,Neutral
another great depression,Positive
never give warm hug paint wall play dog take care patient change oil car yet,Neutral
saying spent year getting education giving education,Neutral
well yeah think ask really replaced box amuse anyone,Neutral
true control reaction thing body regulation government whose job supposed controlling thing set legal precedent boundary nothing accept hearing life issue definitely could influenced enough people believed could took action ffs people big mad boomer,Negative
disagree demand super senior staff going roof expertise properly wield llm,Negative
mean report released many job replaced likely job replaced nothing guess thought obvious great economy lot uncertainty likely result layoff looking like corporate fiction masking darker reality oxford economics suggests,Negative
lobby representative tax profit learn use replaces know,Neutral
related copypasta future proof college value doom post everyday employer career require bachelor yeah college valuable professional career engineer nurse lawyer license practice personally know millennials associate ged degree working fortune individual director level salaried course exceptional rule see username major economics mid career healthcare finance technology sale consulting probably pivot enough experience major longer matter majority career bachelor degree checkbox job application relevant hard soft skill network experience really matter learn hard skill online free constant change work technology company backed solution front office physically meet client job cannot outsourced india replaced yet anyway safest path cannot replaced foreseeable future soft skilled relationship professional service sale consultant lobbyist lawyer politician executive physical skilled labor bedside nurse trade sanitation fireman artisan rich getting richer want human experience patek philippe watchmaker ferrari mechanic michelin starred chef boutique artist,Neutral
assume grasp morality trained everything human ever produced see imbued sense morality say incapable original thought prove human ever original thought,Neutral
hit nail head unless people busy watching porn consuming virtual food remark seems like plausible outcome,Negative
nobody really know pan certain today pandora box open live anxious state accept control best learn embrace,Neutral
marketing communicator doctor engineer strategist lawyer unaffected mostly,Neutral
still air definitely going replace lot repetitive basic service interaction heck could generic voice direction restart device fix half trouble call,Negative
find incredibly useful see buddy sidekick help answer question achieve,Positive
lol sure vibing corner real fast,Positive
true still coming yeah scape goat general terrible economy outsourcing,Negative
try use something make feel better half time translate document correctly,Positive
actually delusional low cost abundant energy metered sold poor nothing last year recorded human history suggest anywhere near living type utopia describe literally built entire world economy governance system direct opposition,Negative
care taking job scared killing want live nice full life kill dead literally professional field say fucked scared death making worse like suffocating enough people worrying feel like mainstream medium telling safely waiting till late,Negative
kind person talking slightly less lot faang use cursor extensively making superhuman sure run wall nothing like spending several hour stackoverflow google freelancing right client kind fucked think one demo ing cursor cushy gig shared screen show something saw agent started asking question using seems like renewing working,Neutral
think job first term white collar job,Neutral
literally stupid thinking cannot tesla really built bullshit many company lesser version stock market speculation,Negative
well well well need personal attack itsan opinion based experience btw say bodycount leave upto put number,Neutral
also ask take job,Neutral
waymo crazy expensive sensor suite software stack rare year two ago holding back sensor get cheaper software improves wave hitting everywhere soon,Neutral
either way crisis take job people pay mortgage thing fall apart company fail cause job lost fails company realize wasted money cut job cut cost thing fall apart company fail cause job lost,Negative
flat broke afford therapy anymore actually used therapy llm extremely helpful stunned better therapist paid saying become mainstream putting obvious reason fun anecdote lol,Positive
never give warm hug paint wall play dog take care patient change oil car new tool great potential take role create new one many role need human touch robotics match look profession need human contact suitable automation,Neutral
work slowing hiring automate increase efficiency cutting job yet could see lot paper pusher elder older manual work unwilling unable learn could replaced backfilled imo weird time next year balance integration keeping job around whole system going crumble totally fine automate use etc also would need come reduction hour way people continue make money using reduce workforce save money labor seems extremely short sighted someone better long term plan,Negative
demand going lot job restaurant meal instead somewhere europe good barber instead large well paid white collar base eat price unemployed pay even existing employment level service might much,Neutral
provide value think tool use increase value organization cannot except maybe job place cap tube toothpaste like charlie chocolate factory,Neutral
engineer manufacturing large tech company bos told learn technician better whether method feel kinda bad acting friendly knowing come might jeopardize career anyone telling bubble professional experience field,Negative
biggest pet peeve pretend human try take accountability claim suggestion something actually tried chatgpt regularly nowadays like stop pretending fuckup mean anything led project irl absolutely realize lab pre tune model behaviour like make frustrated mistake instead,Negative
even right maybe soon matter come point btw car see around currently fully autonomous technological gap one reason cost chicken egg situation main reason ethic regulation short human decision argument letting majority car around drive autonomously going debate either technology available,Neutral
watched youtube video today,Neutral
probably depends industry daily work look like particular industry hiring vendor house swe right swe focus internally live competency direct hire people governance obviously able evaluate vendor claim understand risk deeply,Neutral
yeah still get narrative control already one unleashed control,Neutral
lack government response would one answer unknown job replaced year government assistance either job particular reason case get another job job everyone job join human resistance movement certainly quietly retire,Negative
mean sure hasnt eliminated job yet agent lab run lot free time someone need occasionally sweep floor frankly roombas still suck real world environment probably explains went year need people skill understand system understand put thing together dont need many python coder frankly consulting slop work thanks playing nice day,Negative
shaping corporate implemented regardless harm anyone else work putting work increasing growth yes probably limit new hire theory probably would role without gain allowed industry surviving economy everyone understands need pivot pushing someone else succeed dramatic monologue make feel better seriousness though agree trade offs make someone stupid embracing stupid would letting child starve unemployed virtue signal nuanced evolution,Neutral
eventually ceo push blindly fired two year,Neutral
expertise really passion,Positive
always going edge move boundary humanity knowledge operate,Neutral
new skill done would job require physical human labor enough work field around,Neutral
popcorn watching crusade harmonise country regulate wish lot luck,Neutral
missing point one said replacing every job tomorrow exactly everyone saying though lol half think developer decade browsed sub reality take decade see actual automation software engineering job point already handling million conversation daily chatbots using fucking horrible lol take context supposed make product exist saying replaced every rep yet customer service rep still human call business world email business world seen fact tech amazing adoption scaling take decade yes something like web dev become extremely competitive easy job help web dev adding feature made million time naturally excels much web dev though gonna stay still obviously fall behind field far dead know say said software development whole easily split ticket false true certain part sde,Negative
looking forward laid ability compete company one firm sacked competitive advantage,Neutral
fair ask million people get physical job probably got back pain carpal tunnel decade,Negative
gonna hire contractor work house contractor,Neutral
nursing chef mechanic carpenter electrician,Neutral
unless something exactly going happen think need make system useless somehow need independently self sufficient way require buy sure going look though,Negative
going challenge couple assumption goal argue try help pose several statement worth examining societal level first worry much surpassed basically inevitable already happened several field account speed translator example many way ability recall output transformed information already beyond scope competitiveness necessarily mean bad thing similar pushback field mathematics way back calculator became popularized basically fancy calculator many viewed calculator form cheating opened many area research would unfeasible hand think see similar phenomenon many tedious process calculation automated think human oversight remain important lot field job many occupation need human touch many people using mental health simply affordable mean demand psychotherapy human solution lack genuine empathy important proper mental health assistance think change job innate value human involvement art made cheaply detract sentiment associated physical painting passionate artist teaching affordable match inspiration draw favorite teacher back high school writing fast llm personal message someone shared experience said likely transition phase job transform much ubi solution needed complicated geopolitical issue growing pain reasonable expectation competition business eventually raise bar quality service expect consumer think something fear depressed change value expertise increased understanding use navigate way catalyst many profession necessarily replacement advice find thing passionate put heart always synthetic imitation wish well whatever,Neutral
repeatedly making poor decision added time focusing much business endeavour made come across flight risk overly generalised instead settling specialising one area never gave much thought job take nothing experience stand final nail coffin ended gap due run bad luck covid kept losing every contract got even get start,Negative
software engineer way handle trying boost work tool think replacement synergy,Neutral
find good knowledge bank assistant god forbid let agent touch code instantly hallucinates gemini claude gpt,Negative
unfortunately build system company adopted strategy revolving around staff risk since lot role revolve around communication management busy work partner expect done next month instructed build second brain supposed replace system currently built process realized quite effective building automated probably time come like around jenga tower start collapsing go assumption become competent surely certainly scary time employed,Negative
